epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6827,0,58.3919,0,0,0,0,0,0,0,0,0.000554645,0.000554645,0.000554645
2,89.5697,0,1.9425,0,0,0,0,0,0,0,0,0.00089047,0.00089047,0.00089047
3,131.164,0,0.00457,0,0,0,0,0,0,0,0,0.00100625,0.00100625,0.00100625
4,172.354,0,0,0,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
5,218.734,0,1e-05,0,0,0,0,0,0,55.7696,0,0.000346736,0.000346736,0.000346736
